analysis_type,seed,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp
fixed_global_sweep,42,0.45,191,0.7261904761904762,0.6261682242990654,0.6039603960396039,0.6594594594594595,0.7113929684023143,0.6701570680628273,0.6761793502447708,67,40,23,61,"67,40,23,61"
fixed_global_sweep,43,0.45,191,0.7023809523809523,0.6542056074766355,0.6145833333333334,0.6555555555555556,0.7017690253671561,0.675392670157068,0.678293279928794,70,37,25,59,"70,37,25,59"
fixed_global_sweep,44,0.45,191,0.6547619047619048,0.6355140186915887,0.5851063829787234,0.6179775280898876,0.6926457498887406,0.643979057591623,0.6451379617267468,68,39,29,55,"68,39,29,55"
fixed_global_sweep,45,0.45,191,0.6547619047619048,0.6728971962616822,0.6111111111111112,0.632183908045977,0.7001557632398755,0.6649214659685864,0.6638295505117935,72,35,29,55,"72,35,29,55"
fixed_global_sweep,46,0.45,191,0.6547619047619048,0.6542056074766355,0.5978260869565217,0.625,0.6747329773030707,0.6544502617801047,0.6544837561192701,70,37,29,55,"70,37,29,55"
fixed_global_sweep,42,0.425,191,0.7261904761904762,0.616822429906542,0.5980392156862745,0.6559139784946236,0.7113929684023143,0.6649214659685864,0.6715064530485091,66,41,23,61,"66,41,23,61"
fixed_global_sweep,43,0.425,191,0.7023809523809523,0.6448598130841121,0.6082474226804123,0.6519337016574586,0.7005451713395638,0.6701570680628273,0.6736203827325322,69,38,25,59,"69,38,25,59"
fixed_global_sweep,44,0.425,191,0.6785714285714286,0.6074766355140186,0.5757575757575758,0.6229508196721312,0.7005451713395638,0.6387434554973822,0.6430240320427236,65,42,27,57,"65,42,27,57"
fixed_global_sweep,45,0.425,191,0.6547619047619048,0.6728971962616822,0.6111111111111112,0.632183908045977,0.695315976858033,0.6649214659685864,0.6638295505117935,72,35,29,55,"72,35,29,55"
fixed_global_sweep,46,0.425,191,0.6785714285714286,0.6261682242990654,0.5876288659793815,0.6298342541436464,0.6747886070315977,0.6492146596858639,0.652369826435247,67,40,27,57,"67,40,27,57"
fixed_global_sweep,42,0.4,191,0.7380952380952381,0.5887850467289719,0.5849056603773585,0.6526315789473685,0.7113929684023143,0.6544502617801047,0.663440142412105,63,44,22,62,"63,44,22,62"
fixed_global_sweep,43,0.4,191,0.7023809523809523,0.6074766355140186,0.5841584158415841,0.6378378378378379,0.6997107254116599,0.6492146596858639,0.6549287939474855,65,42,25,59,"65,42,25,59"
fixed_global_sweep,44,0.4,191,0.7023809523809523,0.5887850467289719,0.5728155339805825,0.6310160427807486,0.7096128170894526,0.6387434554973822,0.6455829995549621,63,44,25,59,"63,44,25,59"
fixed_global_sweep,45,0.4,191,0.6666666666666666,0.6542056074766355,0.6021505376344086,0.632768361581921,0.7051624388072987,0.6596858638743456,0.660436137071651,70,37,28,56,"70,37,28,56"
fixed_global_sweep,46,0.4,191,0.6904761904761905,0.616822429906542,0.5858585858585859,0.6338797814207651,0.67456608811749,0.6492146596858639,0.6536493101913663,66,41,26,58,"66,41,26,58"
fixed_global_sweep,42,0.375,191,0.7380952380952381,0.5700934579439252,0.5740740740740741,0.6458333333333334,0.7113929684023143,0.643979057591623,0.6540943480195817,61,46,22,62,"61,46,22,62"
fixed_global_sweep,43,0.375,191,0.7023809523809523,0.5887850467289719,0.5728155339805825,0.6310160427807486,0.6935358255451713,0.6387434554973822,0.6455829995549621,63,44,25,59,"63,44,25,59"
fixed_global_sweep,44,0.375,191,0.7142857142857143,0.5514018691588785,0.5555555555555556,0.625,0.718235425011126,0.6230366492146597,0.6328437917222964,59,48,24,60,"59,48,24,60"
fixed_global_sweep,45,0.375,191,0.6666666666666666,0.6448598130841121,0.5957446808510638,0.6292134831460674,0.7049955496217178,0.6544502617801047,0.6557632398753894,69,38,28,56,"69,38,28,56"
fixed_global_sweep,46,0.375,191,0.6904761904761905,0.6074766355140186,0.58,0.6304347826086957,0.6714508233199822,0.643979057591623,0.6489764129951046,65,42,26,58,"65,42,26,58"
fixed_global_sweep,42,0.35,191,0.7380952380952381,0.5420560747663551,0.5585585585585585,0.6358974358974359,0.7052736982643525,0.6282722513089005,0.6400756564307966,58,49,22,62,"58,49,22,62"
fixed_global_sweep,43,0.35,191,0.7023809523809523,0.5700934579439252,0.5619047619047619,0.6243386243386243,0.6894192256341789,0.6282722513089005,0.6362372051624388,61,46,25,59,"61,46,25,59"
fixed_global_sweep,44,0.35,191,0.7380952380952381,0.5514018691588785,0.5636363636363636,0.6391752577319587,0.7138406764574989,0.6335078534031413,0.6447485536270583,59,48,22,62,"59,48,22,62"
fixed_global_sweep,45,0.35,191,0.6785714285714286,0.616822429906542,0.5816326530612245,0.6263736263736264,0.7157877169559413,0.643979057591623,0.6476969292389854,66,41,27,57,"66,41,27,57"
fixed_global_sweep,46,0.35,191,0.7023809523809523,0.5700934579439252,0.5619047619047619,0.6243386243386243,0.6649977748108589,0.6282722513089005,0.6362372051624388,61,46,25,59,"61,46,25,59"
fixed_global_sweep,42,0.325,191,0.7380952380952381,0.35514018691588783,0.4732824427480916,0.5767441860465117,0.7074432576769026,0.5235602094240838,0.546617712505563,38,69,22,62,"38,69,22,62"
