analysis_type,seed,fold,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp,selection_note,train_recall,train_specificity,train_precision,train_f1
fixed_global_sweep,42,2,0.3,38,0.7142857142857143,0.25,0.35714285714285715,0.47619047619047616,0.6636904761904762,0.42105263157894735,0.48214285714285715,6,18,4,10,"6,18,4,10",,,,,
fixed_global_sweep,42,3,0.3,38,0.8636363636363636,0.4375,0.6785714285714286,0.76,0.8522727272727273,0.6842105263157895,0.6505681818181819,7,9,3,19,"7,9,3,19",,,,,
fixed_global_sweep,42,4,0.3,39,0.6875,0.2608695652173913,0.39285714285714285,0.5,0.6086956521739131,0.4358974358974359,0.4741847826086957,6,17,5,11,"6,17,5,11",,,,,
fixed_global_sweep,42,5,0.3,38,0.5882352941176471,0.42857142857142855,0.45454545454545453,0.5128205128205128,0.603641456582633,0.5,0.5084033613445378,9,12,7,10,"9,12,7,10",,,,,
fixed_global_sweep,43,1,0.3,38,0.9,0.21428571428571427,0.2903225806451613,0.43902439024390244,0.7285714285714286,0.39473684210526316,0.5571428571428572,6,22,1,9,"6,22,1,9",,,,,
fixed_global_sweep,43,2,0.3,38,0.6363636363636364,0.375,0.5833333333333334,0.6086956521739131,0.6136363636363636,0.5263157894736842,0.5056818181818181,6,10,8,14,"6,10,8,14",,,,,
fixed_global_sweep,43,3,0.3,39,0.6842105263157895,0.7,0.6842105263157895,0.6842105263157895,0.7289473684210526,0.6923076923076923,0.6921052631578948,14,6,6,13,"14,6,6,13",,,,,
fixed_global_sweep,43,4,0.3,38,0.6875,0.4090909090909091,0.4583333333333333,0.55,0.7159090909090909,0.5263157894736842,0.5482954545454546,9,13,5,11,"9,13,5,11",,,,,
fixed_global_sweep,43,5,0.3,38,0.7647058823529411,0.3333333333333333,0.48148148148148145,0.5909090909090909,0.6722689075630253,0.5263157894736842,0.5490196078431372,7,14,4,13,"7,14,4,13",,,,,
fixed_global_sweep,44,1,0.3,38,0.625,0.36363636363636365,0.4166666666666667,0.5,0.6335227272727273,0.47368421052631576,0.4943181818181818,8,14,6,10,"8,14,6,10",,,,,
fixed_global_sweep,44,2,0.3,37,0.7857142857142857,0.5652173913043478,0.5238095238095238,0.6285714285714286,0.7484472049689441,0.6486486486486487,0.6754658385093167,13,10,3,11,"13,10,3,11",,,,,
fixed_global_sweep,44,3,0.3,39,0.8571428571428571,0.32,0.41379310344827586,0.5581395348837209,0.7714285714285714,0.5128205128205128,0.5885714285714285,8,17,2,12,"8,17,2,12",,,,,
fixed_global_sweep,44,4,0.3,39,0.7894736842105263,0.3,0.5172413793103449,0.625,0.7052631578947368,0.5384615384615384,0.5447368421052632,6,14,4,15,"6,14,4,15",,,,,
fixed_global_sweep,44,5,0.3,38,0.6666666666666666,0.4117647058823529,0.5833333333333334,0.6222222222222222,0.7072829131652661,0.5526315789473685,0.5392156862745098,7,10,7,14,"7,10,7,14",,,,,
fixed_global_sweep,45,1,0.3,38,0.7272727272727273,0.48148148148148145,0.36363636363636365,0.48484848484848486,0.7676767676767676,0.5526315789473685,0.6043771043771043,13,14,3,8,"13,14,3,8",,,,,
fixed_global_sweep,45,2,0.3,38,0.8181818181818182,0.5,0.6923076923076923,0.75,0.8792613636363636,0.6842105263157895,0.6590909090909092,8,8,4,18,"8,8,4,18",,,,,
fixed_global_sweep,45,3,0.3,39,0.5,0.4,0.3181818181818182,0.3888888888888889,0.5785714285714285,0.4358974358974359,0.45,10,15,7,7,"10,15,7,7",,,,,
fixed_global_sweep,45,4,0.3,38,0.8333333333333334,0.35,0.5357142857142857,0.6521739130434783,0.7333333333333333,0.5789473684210527,0.5916666666666667,7,13,3,15,"7,13,3,15",,,,,
fixed_global_sweep,45,5,0.3,38,0.631578947368421,0.3157894736842105,0.48,0.5454545454545454,0.6385041551246537,0.47368421052631576,0.47368421052631576,6,13,7,12,"6,13,7,12",,,,,
fixed_global_sweep,46,1,0.3,38,0.6470588235294118,0.38095238095238093,0.4583333333333333,0.5365853658536586,0.6568627450980392,0.5,0.5140056022408963,8,13,6,11,"8,13,6,11",,,,,
