seed,feature_mode,backbone,classifier,aggregation,threshold_policy,selected_threshold,speaker_recall,speaker_specificity,speaker_precision,speaker_f1,speaker_auc,clip_recall,clip_specificity,clip_precision,clip_f1,clip_auc,pass_target_zone,n_folds,n_speakers,selected_threshold_std,calibration_statuses
44,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.4642857142857143,0.7383177570093458,0.582089552238806,0.5165562913907285,0.6034712950600802,0.4787234042553192,0.7755905511811023,0.4411764705882353,0.45918367346938777,0.697227341263193,no,5,191,0.0,training_only_in_sample_platt
44,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.9800000000000001,0.23809523809523808,0.9906542056074766,0.9523809523809523,0.38095238095238093,0.6484201157098354,0.2978723404255319,0.9251968503937008,0.5957446808510638,0.3971631205673759,0.697227341263193,no,5,191,1.2412670766236366e-16,training_only_in_sample_platt
44,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.44047619047619047,0.8598130841121495,0.7115384615384616,0.5441176470588235,0.6484201157098354,0.4787234042553192,0.7755905511811023,0.4411764705882353,0.45918367346938777,0.697227341263193,no,5,191,0.0,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,constrained_spec_ge_0.50,0.96,0.19047619047619047,0.9906542056074766,0.9411764705882353,0.31683168316831684,0.5799399198931909,0.20212765957446807,0.984251968503937,0.8260869565217391,0.3247863247863248,0.6997403250125649,no,5,191,0.0,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,default_0.5,0.5,0.4523809523809524,0.8504672897196262,0.7037037037037037,0.5507246376811594,0.623497997329773,0.46808510638297873,0.8346456692913385,0.5116279069767442,0.4888888888888889,0.6997403250125649,no,5,191,0.0,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,mean_score,constrained_spec_ge_0.50,0.96,0.15476190476190477,1.0,1.0,0.26804123711340205,0.6575433911882511,0.20212765957446807,0.984251968503937,0.8260869565217391,0.3247863247863248,0.6997403250125649,no,5,191,0.0,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,mean_score,default_0.5,0.5,0.40476190476190477,0.9345794392523364,0.8292682926829268,0.544,0.6575433911882511,0.46808510638297873,0.8346456692913385,0.5116279069767442,0.4888888888888889,0.6997403250125649,no,5,191,0.0,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.982,0.2857142857142857,0.9626168224299065,0.8571428571428571,0.42857142857142855,0.6070315976858032,0.2872340425531915,0.9566929133858267,0.7105263157894737,0.4090909090909091,0.7121377115094656,no,5,191,0.004472135954999583,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5119047619047619,0.8037383177570093,0.671875,0.581081081081081,0.6360146862483311,0.5212765957446809,0.7913385826771654,0.4803921568627451,0.5,0.7121377115094656,no,5,191,0.0,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.982,0.25,0.9906542056074766,0.9545454545454546,0.39622641509433965,0.6645527369826437,0.2872340425531915,0.9566929133858267,0.7105263157894737,0.4090909090909091,0.7121377115094656,no,5,191,0.004472135954999583,training_only_in_sample_platt
45,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.47619047619047616,0.9158878504672897,0.8163265306122449,0.6015037593984962,0.6645527369826437,0.5212765957446809,0.7913385826771654,0.4803921568627451,0.5,0.7121377115094656,no,5,191,0.0,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,constrained_spec_ge_0.50,0.9540000000000001,0.15476190476190477,0.9626168224299065,0.7647058823529411,0.25742574257425743,0.5452269692923898,0.1702127659574468,0.9645669291338582,0.64,0.2689075630252101,0.7107555704473111,no,5,191,0.0054772255750516665,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,default_0.5,0.5,0.4880952380952381,0.822429906542056,0.6833333333333333,0.5694444444444444,0.6376279483756119,0.4787234042553192,0.8110236220472441,0.4838709677419355,0.48128342245989303,0.7107555704473111,no,5,191,0.0,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,mean_score,constrained_spec_ge_0.50,0.9540000000000001,0.13095238095238096,1.0,1.0,0.23157894736842105,0.6687805963506898,0.1702127659574468,0.9645669291338582,0.64,0.2689075630252101,0.7107555704473111,no,5,191,0.0054772255750516665,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,mean_score,default_0.5,0.5,0.4523809523809524,0.8878504672897196,0.76,0.5671641791044776,0.6687805963506898,0.4787234042553192,0.8110236220472441,0.4838709677419355,0.48128342245989303,0.7107555704473111,no,5,191,0.0,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.982,0.2857142857142857,0.9345794392523364,0.7741935483870968,0.41739130434782606,0.5912327547841566,0.2872340425531915,0.9409448818897638,0.6428571428571429,0.39705882352941174,0.7196347796950913,no,5,191,0.004472135954999583,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5,0.7663551401869159,0.6268656716417911,0.5562913907284768,0.6346795727636849,0.5212765957446809,0.7795275590551181,0.4666666666666667,0.49246231155778897,0.7196347796950913,no,5,191,0.0,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.982,0.23809523809523808,0.9719626168224299,0.8695652173913043,0.37383177570093457,0.6624388072986204,0.2872340425531915,0.9409448818897638,0.6428571428571429,0.39705882352941174,0.7196347796950913,no,5,191,0.004472135954999583,training_only_in_sample_platt
45,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.5,0.8785046728971962,0.7636363636363637,0.60431654676259,0.6624388072986204,0.5212765957446809,0.7795275590551181,0.4666666666666667,0.49246231155778897,0.7196347796950913,no,5,191,0.0,training_only_in_sample_platt
